,area_type,availability,location,total_sqft,bath,price,bhk
2067,Super built-up  Area,Available Soon,Other,1430.0,2.0,97.52,2
2069,Plot  Area,Ready To Move,Other,2000.0,4.0,139.0,4
2071,Built-up  Area,Ready To Move,Other,1533.0,3.0,115.0,3
2072,Super built-up  Area,Ready To Move,Other,1750.0,3.0,150.0,3
2073,Plot  Area,Ready To Move,Other,1200.0,2.0,66.0,3
2074,Super built-up  Area,Ready To Move,Other,1352.0,2.0,87.5,2
2075,Super built-up  Area,Ready To Move,Other,1754.0,3.0,125.0,3
2076,Built-up  Area,Ready To Move,Other,1560.0,3.0,85.0,3
2077,Super built-up  Area,Available Soon,Other,3012.0,6.0,268.0,4
2078,Super built-up  Area,Ready To Move,Other,1470.0,2.0,90.0,3
2083,Super built-up  Area,Available Soon,Other,595.0,1.0,31.83,1
2084,Super built-up  Area,Ready To Move,Other,1650.0,3.0,110.0,3
2087,Super built-up  Area,Ready To Move,Other,750.0,1.0,25.0,1
2088,Built-up  Area,Ready To Move,Other,1400.0,3.0,115.0,3
2091,Super built-up  Area,Ready To Move,Other,1375.0,2.0,85.0,3
2096,Super built-up  Area,Ready To Move,Other,1195.0,2.0,84.0,2
2099,Super built-up  Area,Available Soon,Other,1708.0,2.0,90.5,3
2102,Super built-up  Area,Available Soon,Other,1920.0,3.0,130.0,3
2107,Super built-up  Area,Ready To Move,Other,2800.0,4.0,200.0,5
2109,Built-up  Area,Ready To Move,Other,1190.0,2.0,68.0,2
2110,Super built-up  Area,Available Soon,Other,3067.0,4.0,230.0,4
2111,Built-up  Area,Ready To Move,Other,1525.0,3.0,100.0,3
2112,Super built-up  Area,Ready To Move,Other,1775.0,3.0,110.0,3
2113,Built-up  Area,Ready To Move,Other,1125.0,2.0,63.0,2
2115,Built-up  Area,Ready To Move,Other,1200.0,4.0,75.0,4
2116,Super built-up  Area,Ready To Move,Other,1268.0,2.0,73.0,2
2117,Built-up  Area,Ready To Move,Other,1500.0,3.0,88.0,3
2120,Super built-up  Area,Ready To Move,Other,1687.0,3.0,127.0,3
2123,Built-up  Area,Available Soon,Other,1500.0,2.0,143.0,3
2125,Super built-up  Area,Available Soon,Other,1875.0,3.0,110.0,3
2126,Super built-up  Area,Ready To Move,Other,1101.0,2.0,65.0,2
2127,Super built-up  Area,Ready To Move,Other,1140.0,2.0,76.0,2
2129,Super built-up  Area,Ready To Move,Other,2039.0,3.0,168.0,3
2130,Super built-up  Area,Ready To Move,Other,1198.0,2.0,84.0,2
2132,Built-up  Area,Ready To Move,Other,1370.0,2.0,75.0,2
2139,Plot  Area,Ready To Move,Other,1200.0,2.0,66.5,3
2140,Built-up  Area,Ready To Move,Other,1179.0,2.0,75.0,2
2143,Super built-up  Area,Ready To Move,Other,1605.0,3.0,85.0,3
2146,Super built-up  Area,Ready To Move,Other,1000.0,1.0,55.0,2
2147,Plot  Area,Ready To Move,Other,1200.0,2.0,80.0,2
2148,Plot  Area,Ready To Move,Other,1200.0,2.0,125.0,2
2149,Plot  Area,Available Soon,Other,1200.0,2.0,66.0,2
2154,Super built-up  Area,Available Soon,Other,1934.0,3.0,150.0,3
2160,Super built-up  Area,Ready To Move,Other,1470.0,2.0,110.0,3
2161,Built-up  Area,Ready To Move,Other,1050.0,1.0,70.0,1
2162,Super built-up  Area,Available Soon,Other,1232.0,2.0,69.61,2
2163,Super built-up  Area,Ready To Move,Other,2225.0,4.0,169.0,3
2164,Plot  Area,Ready To Move,Other,1200.0,2.0,80.0,3
2165,Super built-up  Area,Ready To Move,Other,1901.0,3.0,119.0,3
2168,Built-up  Area,Ready To Move,Other,5000.0,4.0,290.0,4
2171,Plot  Area,Ready To Move,Other,4800.0,3.0,302.0,4
2173,Super built-up  Area,Ready To Move,Other,3245.0,4.0,250.0,4
2174,Plot  Area,Ready To Move,Other,2400.0,4.0,130.0,3
2177,Super built-up  Area,Available Soon,Other,2254.0,3.0,170.0,3
2178,Super built-up  Area,Ready To Move,Other,1750.0,3.0,150.0,3
2180,Built-up  Area,Ready To Move,Other,515.0,1.0,25.0,1
2181,Super built-up  Area,Ready To Move,Other,1893.0,3.0,140.0,3
2183,Built-up  Area,Ready To Move,Other,600.0,2.0,36.5,2
2184,Super built-up  Area,Ready To Move,Other,1075.0,2.0,90.0,3
2185,Super built-up  Area,Ready To Move,Other,1200.0,2.0,78.0,2
2186,Super built-up  Area,Ready To Move,Other,1255.0,2.0,65.26,2
2188,Super built-up  Area,Ready To Move,Other,2145.0,3.0,175.0,3
2193,Built-up  Area,Ready To Move,Other,540.0,1.0,36.0,1
2194,Super built-up  Area,Ready To Move,Other,1240.0,2.0,84.0,3
2195,Super built-up  Area,Ready To Move,Other,1245.0,2.0,68.0,3
2200,Super built-up  Area,Ready To Move,Other,3122.0,6.0,245.0,4
2201,Super built-up  Area,Ready To Move,Other,1290.0,2.0,85.0,2
2203,Built-up  Area,Ready To Move,Other,3000.0,4.0,200.0,4
2204,Built-up  Area,Ready To Move,Other,400.0,1.0,14.0,1
2206,Super built-up  Area,Ready To Move,Other,900.0,2.0,95.0,2
2208,Super built-up  Area,Ready To Move,Other,1720.0,3.0,100.0,3
2210,Built-up  Area,Ready To Move,Other,900.0,2.0,64.0,2
2212,Super built-up  Area,Ready To Move,Other,2556.0,3.0,133.0,3
2213,Super built-up  Area,Ready To Move,Other,1850.0,3.0,168.0,3
2215,Super built-up  Area,Ready To Move,Other,1270.0,2.0,83.0,2
2216,Built-up  Area,Available Soon,Other,1655.0,3.0,115.0,3
2218,Super built-up  Area,Ready To Move,Other,1050.0,2.0,85.0,2
2220,Built-up  Area,Ready To Move,Other,1726.0,3.0,145.0,3
2221,Super built-up  Area,Ready To Move,Other,1404.0,2.0,75.0,2
2223,Super built-up  Area,Ready To Move,Other,1025.0,2.0,57.0,2
2224,Plot  Area,Ready To Move,Other,1575.0,4.0,150.0,5
2230,Super built-up  Area,Available Soon,Other,1310.0,2.0,80.0,2
2231,Super built-up  Area,Ready To Move,Other,1788.0,3.0,98.34,3
2234,Super built-up  Area,Ready To Move,Other,1200.0,2.0,70.0,2
2235,Super built-up  Area,Ready To Move,Other,1862.0,3.0,120.0,3
2239,Super built-up  Area,Available Soon,Other,1995.0,3.0,135.0,3
2243,Super built-up  Area,Ready To Move,Other,1767.0,3.0,98.0,3
2245,Super built-up  Area,Ready To Move,Other,1692.0,3.0,88.0,3
2246,Built-up  Area,Ready To Move,Other,1645.0,3.0,100.0,3
2248,Super built-up  Area,Ready To Move,Other,1100.0,2.0,60.0,2
2250,Plot  Area,Ready To Move,Other,2400.0,4.0,240.0,4
2251,Plot  Area,Ready To Move,Other,1920.0,4.0,200.0,4
2253,Super built-up  Area,Ready To Move,Other,2072.0,4.0,150.0,3
2254,Plot  Area,Ready To Move,Other,2040.0,3.0,137.0,3
2255,Super built-up  Area,Ready To Move,Other,1300.0,2.0,79.0,2
2257,Super built-up  Area,Ready To Move,Other,1470.0,2.0,86.0,2
2260,Super built-up  Area,Ready To Move,Other,3500.0,4.0,350.0,4
2262,Built-up  Area,Ready To Move,Other,1060.0,2.0,55.0,2
2263,Super built-up  Area,Ready To Move,Other,1760.0,3.0,145.0,3
2265,Super built-up  Area,Ready To Move,Other,1300.0,3.0,65.0,3
2266,Super built-up  Area,Ready To Move,Other,4850.0,6.0,385.0,4
2268,Super built-up  Area,Ready To Move,Other,1752.12,3.0,116.0,3
2270,Super built-up  Area,Available Soon,Other,790.5,1.0,41.9,1
2271,Built-up  Area,Ready To Move,Other,1942.0,3.0,102.0,3
2272,Built-up  Area,Ready To Move,Other,1000.0,2.0,53.0,2
2273,Super built-up  Area,Ready To Move,Other,668.0,1.0,36.85,1
2276,Super built-up  Area,Ready To Move,Other,1583.0,3.0,105.0,3
2278,Super built-up  Area,Ready To Move,Other,1100.0,2.0,65.0,2
2279,Super built-up  Area,Ready To Move,Other,1246.0,2.0,65.0,2
2282,Built-up  Area,Ready To Move,Other,1000.0,2.0,64.0,2
2283,Super built-up  Area,Ready To Move,Other,1567.0,3.0,90.0,3
2286,Super built-up  Area,Ready To Move,Other,1022.0,2.0,52.0,2
2288,Super built-up  Area,Ready To Move,Other,1322.0,2.0,68.0,2
2289,Plot  Area,Ready To Move,Other,1800.0,4.0,145.0,4
2292,Built-up  Area,Ready To Move,Other,3400.0,3.0,210.0,4
2293,Super built-up  Area,Ready To Move,Other,3035.0,5.0,200.0,4
2294,Super built-up  Area,Ready To Move,Other,1533.0,3.0,85.0,3
2295,Super built-up  Area,Ready To Move,Other,1720.0,3.0,134.0,3
2296,Super built-up  Area,Ready To Move,Other,2000.0,3.0,200.0,3
2297,Super built-up  Area,Available Soon,Other,1185.0,2.0,75.84,2
2299,Built-up  Area,Ready To Move,Other,395.0,1.0,10.25,1
2300,Super built-up  Area,Ready To Move,Other,1031.0,2.0,56.35,2
2303,Built-up  Area,Ready To Move,Other,1570.0,3.0,88.0,3
2307,Super built-up  Area,Ready To Move,Other,1754.0,3.0,135.0,3
2308,Super built-up  Area,Available Soon,Other,1639.0,3.0,83.0,3
2309,Super built-up  Area,Available Soon,Other,1804.0,3.0,102.0,3
2312,Built-up  Area,Ready To Move,Other,2160.0,3.0,160.0,3
2314,Plot  Area,Ready To Move,Other,1200.0,2.0,67.0,2
2316,Super built-up  Area,Ready To Move,Other,605.0,1.0,29.0,1
2317,Super built-up  Area,Available Soon,Other,1444.0,2.0,75.97,2
2323,Plot  Area,Ready To Move,Other,1200.0,2.0,83.0,2
2324,Super built-up  Area,Ready To Move,Other,1452.55,2.0,110.0,2
2325,Built-up  Area,Ready To Move,Other,2357.0,3.0,151.0,3
2328,Super built-up  Area,Ready To Move,Other,1170.0,2.0,105.0,2
2330,Super built-up  Area,Available Soon,Other,1762.0,3.0,110.0,3
2332,Super built-up  Area,Available Soon,Other,1825.0,3.0,105.0,3
2337,Super built-up  Area,Available Soon,Other,1200.0,2.0,72.0,2
2339,Super built-up  Area,Available Soon,Other,1411.0,3.0,91.72,3
2340,Super built-up  Area,Ready To Move,Other,1550.0,3.0,78.0,3
2341,Super built-up  Area,Ready To Move,Other,3250.0,4.0,230.0,4
2342,Super built-up  Area,Ready To Move,Other,2475.0,4.0,130.0,3
2343,Super built-up  Area,Available Soon,Other,3181.0,2.0,260.5,4
2344,Super built-up  Area,Available Soon,Other,2503.0,4.0,188.0,4
2345,Super built-up  Area,Ready To Move,Other,2524.0,5.0,190.0,4
2349,Super built-up  Area,Ready To Move,Other,1045.0,2.0,76.77,2
2351,Super built-up  Area,Ready To Move,Other,1400.0,2.0,78.0,2
2358,Plot  Area,Ready To Move,Other,1100.0,3.0,78.0,3
2359,Super built-up  Area,Available Soon,Other,1634.0,3.0,83.33,3
2360,Super built-up  Area,Ready To Move,Other,1352.0,2.0,85.0,2
2361,Super built-up  Area,Available Soon,Other,1145.0,2.0,65.0,2
2363,Super built-up  Area,Ready To Move,Other,2200.0,3.0,190.0,3
2365,Super built-up  Area,Ready To Move,Other,3600.0,4.0,365.0,4
2366,Super built-up  Area,Available Soon,Other,1168.0,2.0,61.0,2
2367,Super built-up  Area,Available Soon,Other,1205.0,2.0,75.0,2
2368,Super built-up  Area,Ready To Move,Other,1195.0,2.0,100.0,2
2371,Super built-up  Area,Ready To Move,Other,1550.0,2.0,90.0,3
2372,Super built-up  Area,Ready To Move,Other,1826.0,3.0,165.0,3
2374,Super built-up  Area,Ready To Move,Other,1603.0,3.0,96.0,3
2375,Built-up  Area,Ready To Move,Other,1350.0,3.0,72.0,3
2376,Built-up  Area,Ready To Move,Other,714.0,1.0,28.0,1
2377,Built-up  Area,Ready To Move,Other,1405.0,2.0,77.0,3
2380,Super built-up  Area,Ready To Move,Other,1313.0,2.0,73.0,2
2381,Built-up  Area,Ready To Move,Other,1945.0,3.0,120.0,3
2382,Super built-up  Area,Ready To Move,Other,1400.0,3.0,91.15,4
2384,Super built-up  Area,Ready To Move,Other,1238.0,2.0,67.0,2
2385,Super built-up  Area,Available Soon,Other,1465.0,2.0,74.72,3
2386,Super built-up  Area,Ready To Move,Other,1418.0,2.0,103.0,2
2387,Super built-up  Area,Ready To Move,Other,1650.0,3.0,165.0,3
2388,Built-up  Area,Ready To Move,Other,351.0,1.0,16.0,1
2390,Built-up  Area,Ready To Move,Other,1870.0,3.0,200.0,3
2391,Super built-up  Area,Available Soon,Other,2526.0,2.0,250.0,3
2392,Plot  Area,Ready To Move,Other,1550.0,2.0,150.0,3
2395,Built-up  Area,Ready To Move,Other,1150.0,2.0,75.0,3
2396,Plot  Area,Ready To Move,Other,1200.0,3.0,74.0,3
2399,Super built-up  Area,Available Soon,Other,1447.0,2.0,75.97,2
2400,Super built-up  Area,Ready To Move,Other,1229.0,3.0,86.03,3
2404,Built-up  Area,Ready To Move,Other,1030.0,2.0,61.0,2
2407,Built-up  Area,Ready To Move,Other,600.0,1.0,32.0,1
2410,Super built-up  Area,Available Soon,Other,1304.0,2.0,79.0,2
2413,Super built-up  Area,Available Soon,Other,700.0,1.0,30.09,1
2415,Super built-up  Area,Ready To Move,Other,1300.0,2.0,73.0,2
2416,Super built-up  Area,Available Soon,Other,1239.0,2.0,82.0,2
2417,Super built-up  Area,Ready To Move,Other,1365.0,2.0,92.0,2
2419,Super built-up  Area,Ready To Move,Other,1776.42,3.0,105.0,3
2422,Super built-up  Area,Ready To Move,Other,2319.0,3.0,180.0,3
2423,Super built-up  Area,Ready To Move,Other,1520.0,3.0,80.0,3
2424,Super built-up  Area,Available Soon,Other,1536.0,3.0,89.0,3
2425,Built-up  Area,Ready To Move,Other,3000.0,4.0,240.0,4
2427,Super built-up  Area,Available Soon,Other,1850.0,3.0,146.0,3
2428,Super built-up  Area,Ready To Move,Other,1112.0,2.0,62.0,2
2430,Super built-up  Area,Ready To Move,Other,1250.0,3.0,65.0,3
2434,Super built-up  Area,Available Soon,Other,2072.0,3.0,108.0,3
2435,Super built-up  Area,Ready To Move,Other,1550.0,3.0,82.0,3
2436,Super built-up  Area,Ready To Move,Other,1315.0,2.0,90.0,2
2437,Super built-up  Area,Available Soon,Other,3067.0,4.0,230.0,4
2438,Super built-up  Area,Ready To Move,Other,1210.0,2.0,72.0,2
2440,Super built-up  Area,Ready To Move,Other,11338.0,9.0,1000.0,6
2442,Built-up  Area,Ready To Move,Other,1470.0,2.0,75.0,3
2443,Plot  Area,Available Soon,Other,30000.0,4.0,2100.0,4
2444,Built-up  Area,Ready To Move,Other,1590.0,2.0,125.0,3
2451,Super built-up  Area,Available Soon,Other,1196.0,2.0,71.74,2
2453,Super built-up  Area,Ready To Move,Other,1418.0,2.0,101.0,2
2454,Super built-up  Area,Available Soon,Other,1655.0,3.0,115.0,3
2456,Super built-up  Area,Ready To Move,Other,1170.0,2.0,68.0,2
2462,Super built-up  Area,Ready To Move,Other,1325.0,2.0,119.0,2
2463,Super built-up  Area,Ready To Move,Other,1400.0,2.0,88.0,3
2464,Super built-up  Area,Available Soon,Other,1246.0,2.0,82.0,2
2468,Built-up  Area,Ready To Move,Other,945.0,2.0,50.0,2
2470,Plot  Area,Ready To Move,Other,1600.0,2.0,110.0,2
2472,Super built-up  Area,Ready To Move,Other,1750.0,3.0,100.0,3
2475,Super built-up  Area,Ready To Move,Other,1370.0,2.0,75.0,3
2476,Super built-up  Area,Ready To Move,Other,1754.0,3.0,124.0,3
2477,Super built-up  Area,Ready To Move,Other,1847.0,3.0,110.0,3
2478,Super built-up  Area,Ready To Move,Other,1850.0,4.0,139.0,3
2484,Super built-up  Area,Ready To Move,Other,1165.0,2.0,95.0,2
2485,Super built-up  Area,Available Soon,Other,1756.0,3.0,92.0,3
2486,Super built-up  Area,Ready To Move,Other,1739.0,3.0,105.0,3
2494,Plot  Area,Ready To Move,Other,3200.0,4.0,205.0,4
2498,Super built-up  Area,Available Soon,Other,1255.0,2.0,77.68,3
2500,Super built-up  Area,Ready To Move,Other,674.0,1.0,21.0,1
2501,Super built-up  Area,Ready To Move,Other,1936.0,4.0,126.0,3
2503,Super built-up  Area,Ready To Move,Other,2257.0,4.0,157.0,3
2504,Super built-up  Area,Ready To Move,Other,1055.0,2.0,55.0,2
2506,Super built-up  Area,Ready To Move,Other,1700.0,3.0,97.0,3
2508,Built-up  Area,Ready To Move,Other,3500.0,4.0,330.0,3
2509,Super built-up  Area,Ready To Move,Other,1263.0,2.0,93.32,2
2511,Super built-up  Area,Ready To Move,Other,1043.0,2.0,65.0,2
2513,Super built-up  Area,Available Soon,Other,1352.5,2.0,93.865,2
2514,Super built-up  Area,Available Soon,Other,590.0,1.0,13.57,1
2515,Plot  Area,Ready To Move,Other,1550.0,3.0,120.0,3
2516,Super built-up  Area,Ready To Move,Other,1900.0,3.0,160.0,3
2518,Built-up  Area,Ready To Move,Other,1100.0,2.0,75.0,2
2519,Super built-up  Area,Available Soon,Other,1455.0,3.0,73.31,3
2521,Super built-up  Area,Ready To Move,Other,1152.0,2.0,69.0,2
2522,Super built-up  Area,Ready To Move,Other,1299.0,2.0,82.0,2
2525,Super built-up  Area,Ready To Move,Other,1246.0,2.0,67.4,2
2526,Built-up  Area,Ready To Move,Other,1929.0,3.0,115.0,3
2528,Plot  Area,Ready To Move,Other,1200.0,2.0,65.0,3
2529,Built-up  Area,Ready To Move,Other,3161.0,4.0,214.0,4
2530,Built-up  Area,Ready To Move,Other,1850.0,3.0,170.0,3
2532,Built-up  Area,Ready To Move,Other,1124.0,3.0,80.0,2
2533,Super built-up  Area,Available Soon,Other,1012.0,2.0,54.59,2
2535,Super built-up  Area,Ready To Move,Other,871.0,2.0,55.0,2
2538,Super built-up  Area,Ready To Move,Other,1410.0,2.0,80.0,3
2541,Plot  Area,Ready To Move,Other,950.0,3.0,80.0,3
2544,Super built-up  Area,Ready To Move,Other,1478.0,2.0,125.0,2
2545,Super built-up  Area,Available Soon,Other,645.0,1.0,16.45,1
2546,Carpet  Area,Available Soon,Other,823.0,2.0,50.63,2
2548,Super built-up  Area,Ready To Move,Other,1991.0,4.0,100.0,3
2550,Super built-up  Area,Ready To Move,Other,1745.0,3.0,115.0,3
2551,Super built-up  Area,Ready To Move,Other,1100.0,2.0,70.0,2
2555,Plot  Area,Ready To Move,Other,2200.0,4.0,195.0,4
2558,Super built-up  Area,Ready To Move,Other,1375.0,2.0,80.0,2
2559,Super built-up  Area,Ready To Move,Other,1180.0,2.0,65.0,2
2563,Super built-up  Area,Ready To Move,Other,1728.0,3.0,95.0,3
2564,Super built-up  Area,Ready To Move,Other,1200.0,2.0,80.0,2
2567,Super built-up  Area,Available Soon,Other,440.0,1.0,28.0,1
2568,Super built-up  Area,Ready To Move,Other,1525.0,3.0,96.0,3
2571,Super built-up  Area,Ready To Move,Other,1650.0,3.0,122.0,3
2572,Built-up  Area,Ready To Move,Other,4200.0,4.0,255.0,4
2575,Built-up  Area,Ready To Move,Other,5000.0,5.0,395.0,4
2577,Super built-up  Area,Ready To Move,Other,1555.0,3.0,82.5,3
2581,Super built-up  Area,Ready To Move,Other,1610.0,3.0,115.0,3
2582,Super built-up  Area,Ready To Move,Other,700.0,1.0,41.0,1
2584,Super built-up  Area,Ready To Move,Other,1420.0,2.0,123.0,2
2585,Carpet  Area,Available Soon,Other,1069.0,3.0,65.4,3
2586,Super built-up  Area,Ready To Move,Other,1900.0,3.0,123.0,3
2587,Super built-up  Area,Available Soon,Other,1655.0,2.0,97.65,2
2591,Built-up  Area,Ready To Move,Other,1700.0,3.0,126.0,3
2592,Super built-up  Area,Ready To Move,Other,1760.0,3.0,139.0,3
2596,Built-up  Area,Ready To Move,Other,912.0,2.0,55.0,2
2599,Super built-up  Area,Ready To Move,Other,918.0,2.0,63.2,2
2601,Plot  Area,Ready To Move,Other,3000.0,3.0,250.0,3
2602,Super built-up  Area,Ready To Move,Other,1476.0,3.0,89.0,3
2603,Super built-up  Area,Available Soon,Other,1200.0,2.0,65.0,2
2604,Super built-up  Area,Available Soon,Other,606.0,1.0,34.78,1
2605,Super built-up  Area,Ready To Move,Other,1100.0,2.0,61.0,2
2607,Built-up  Area,Ready To Move,Other,527.0,1.0,26.0,1
2608,Super built-up  Area,Ready To Move,Other,1300.0,2.0,80.0,2
2609,Plot  Area,Ready To Move,Other,1260.0,1.0,41.0,1
2610,Built-up  Area,Ready To Move,Other,1140.0,2.0,75.2,2
2611,Plot  Area,Ready To Move,Other,1500.0,1.0,37.5,1
2612,Super built-up  Area,Available Soon,Other,3067.0,4.0,310.0,4
2613,Super built-up  Area,Available Soon,Other,1186.0,2.0,63.0,3
2614,Built-up  Area,Ready To Move,Other,600.0,1.0,17.0,1
2615,Super built-up  Area,Available Soon,Other,1313.0,3.0,96.0,3
2616,Plot  Area,Ready To Move,Other,900.0,2.0,55.0,2
2617,Super built-up  Area,Ready To Move,Other,1250.0,2.0,66.25,2
2618,Super built-up  Area,Available Soon,Other,660.0,1.0,54.0,1
2619,Super built-up  Area,Ready To Move,Other,1036.0,2.0,105.0,2
2620,Super built-up  Area,Ready To Move,Other,1100.0,2.0,70.0,2
2622,Built-up  Area,Ready To Move,Other,1015.0,2.0,56.0,2
2623,Plot  Area,Ready To Move,Other,812.0,1.0,26.0,1
2625,Super built-up  Area,Ready To Move,Other,2167.0,3.0,170.0,3
2627,Super built-up  Area,Ready To Move,Other,1165.0,2.0,75.0,2
2628,Super built-up  Area,Ready To Move,Other,1274.0,2.0,70.0,2
2630,Super built-up  Area,Ready To Move,Other,1626.0,2.0,120.0,3
2632,Plot  Area,Ready To Move,Other,1272.0,4.0,75.0,3
2634,Plot  Area,Ready To Move,Other,1600.0,5.0,140.0,5
2638,Super built-up  Area,Ready To Move,Other,1000.0,2.0,65.0,3
2640,Built-up  Area,Ready To Move,Other,1700.0,2.0,100.0,3
2641,Super built-up  Area,Ready To Move,Other,1850.0,3.0,110.0,3
2645,Super built-up  Area,Ready To Move,Other,1270.0,2.0,69.85,2
2646,Super built-up  Area,Ready To Move,Other,730.0,1.0,35.0,1
2651,Super built-up  Area,Available Soon,Other,1290.0,2.0,100.0,2
2653,Built-up  Area,Ready To Move,Other,1463.0,1.0,142.0,2
2655,Super built-up  Area,Ready To Move,Other,2401.0,3.0,185.0,3
2656,Plot  Area,Ready To Move,Other,1670.0,3.0,135.0,4
2657,Plot  Area,Ready To Move,Other,1200.0,3.0,90.0,3
2658,Super built-up  Area,Ready To Move,Other,1804.0,3.0,121.0,3
2659,Super built-up  Area,Ready To Move,Other,2065.0,4.0,210.0,3
2661,Super built-up  Area,Ready To Move,Other,900.0,2.0,56.0,2
2662,Super built-up  Area,Available Soon,Other,1350.0,2.0,91.0,2
2663,Super built-up  Area,Ready To Move,Other,700.0,1.0,36.0,1
2666,Super built-up  Area,Ready To Move,Other,1680.0,3.0,99.27,3
2667,Carpet  Area,Ready To Move,Other,1043.0,2.0,55.0,2
2668,Plot  Area,Ready To Move,Other,1200.0,4.0,120.0,4
2673,Built-up  Area,Ready To Move,Other,2500.0,4.0,150.0,4
2674,Carpet  Area,Ready To Move,Other,1700.0,3.0,120.0,3
2676,Super built-up  Area,Ready To Move,Other,1400.0,2.0,100.0,2
2678,Built-up  Area,Ready To Move,Other,1180.0,2.0,100.0,2
2679,Super built-up  Area,Ready To Move,Other,1800.0,3.0,150.0,3
2680,Super built-up  Area,Available Soon,Other,1225.0,2.0,67.38,2
2681,Built-up  Area,Ready To Move,Other,890.0,1.0,75.0,1
2684,Super built-up  Area,Available Soon,Other,1707.0,2.0,99.745,3
2687,Super built-up  Area,Available Soon,Other,1452.19,2.0,100.0,2
2688,Super built-up  Area,Available Soon,Other,2600.0,4.0,135.0,3
2689,Built-up  Area,Ready To Move,Other,630.0,1.0,35.0,2
2692,Super built-up  Area,Ready To Move,Other,1690.0,3.0,100.0,3
2693,Super built-up  Area,Ready To Move,Other,1365.0,2.0,73.0,2
2694,Super built-up  Area,Ready To Move,Other,2849.0,5.0,300.0,5
2695,Super built-up  Area,Ready To Move,Other,1420.0,2.0,99.39,2
2698,Super built-up  Area,Ready To Move,Other,1575.0,2.0,110.0,3
2699,Super built-up  Area,Ready To Move,Other,1418.0,2.0,104.0,2
2702,Built-up  Area,Ready To Move,Other,1340.0,3.0,90.0,3
2703,Super built-up  Area,Ready To Move,Other,1610.0,3.0,92.0,3
2708,Super built-up  Area,Available Soon,Other,734.0,1.0,19.82,1
2711,Built-up  Area,Ready To Move,Other,1350.0,2.0,79.0,2
2713,Plot  Area,Ready To Move,Other,1350.0,2.0,90.0,2
2714,Super built-up  Area,Ready To Move,Other,1493.0,3.0,82.0,3
2716,Super built-up  Area,Ready To Move,Other,1900.0,2.0,170.0,3
2717,Super built-up  Area,Ready To Move,Other,1460.0,3.0,88.0,3
2718,Plot  Area,Ready To Move,Other,1600.0,5.0,140.0,5
2721,Super built-up  Area,Ready To Move,Other,1685.0,3.0,95.0,3
2722,Built-up  Area,Ready To Move,Other,1260.0,2.0,100.0,2
2723,Plot  Area,Ready To Move,Other,1330.0,4.0,140.0,3
2724,Super built-up  Area,Available Soon,Other,630.0,1.0,13.86,1
2725,Super built-up  Area,Ready To Move,Other,1850.0,3.0,140.0,3
2727,Super built-up  Area,Available Soon,Other,4235.0,4.0,365.0,4
2728,Plot  Area,Available Soon,Other,800.0,1.0,52.0,1
2729,Super built-up  Area,Ready To Move,Other,2250.0,3.0,195.0,3
2731,Plot  Area,Ready To Move,Other,4000.0,5.0,280.0,4
2735,Super built-up  Area,Ready To Move,Other,1260.0,2.0,75.0,2
2737,Super built-up  Area,Ready To Move,Other,1550.0,2.0,140.0,2
2739,Built-up  Area,Ready To Move,Other,1662.0,3.0,85.0,3
2741,Super built-up  Area,Ready To Move,Other,1862.0,3.0,119.0,3
2746,Super built-up  Area,Available Soon,Other,1392.0,2.0,99.0,2
2747,Super built-up  Area,Available Soon,Other,1798.0,3.0,120.0,3
2749,Plot  Area,Ready To Move,Other,792.0,2.0,70.0,2
2751,Super built-up  Area,Available Soon,Other,1700.0,3.0,124.0,3
2752,Super built-up  Area,Ready To Move,Other,1248.0,2.0,69.0,2
2755,Super built-up  Area,Ready To Move,Other,1527.0,3.0,115.0,3
2756,Plot  Area,Ready To Move,Other,2400.0,5.0,235.0,5
2757,Super built-up  Area,Ready To Move,Other,1100.0,2.0,58.0,2
2759,Super built-up  Area,Available Soon,Other,1476.0,3.0,75.0,3
2762,Super built-up  Area,Ready To Move,Other,1332.0,2.0,79.0,2
2768,Super built-up  Area,Ready To Move,Other,883.0,2.0,45.0,2
2770,Super built-up  Area,Ready To Move,Other,1703.0,3.0,113.0,3
2772,Super built-up  Area,Ready To Move,Other,1250.0,3.0,71.0,3
2774,Plot  Area,Ready To Move,Other,461.82,1.0,31.7,1
2775,Super built-up  Area,Ready To Move,Other,1262.0,2.0,75.0,2
2776,Super built-up  Area,Ready To Move,Other,915.0,2.0,48.0,2
2779,Plot  Area,Available Soon,Other,1500.0,2.0,85.0,3
2782,Plot  Area,Available Soon,Other,1800.0,4.0,110.0,4
2784,Built-up  Area,Ready To Move,Other,989.0,2.0,60.0,2
2785,Super built-up  Area,Ready To Move,Other,1300.0,2.0,85.0,2
2787,Super built-up  Area,Ready To Move,Other,1045.0,2.0,60.0,2
2789,Super built-up  Area,Ready To Move,Other,1260.0,2.0,75.0,2
2790,Super built-up  Area,Ready To Move,Other,1500.0,2.0,125.0,3
2793,Super built-up  Area,Ready To Move,Other,1385.0,2.0,83.09,2
2794,Super built-up  Area,Ready To Move,Other,1149.0,2.0,75.0,2
2795,Super built-up  Area,Ready To Move,Other,12000.0,12.0,525.0,10
2796,Super built-up  Area,Ready To Move,Other,1818.0,3.0,135.0,3
2800,Super built-up  Area,Available Soon,Other,1430.0,2.0,113.0,2
2801,Super built-up  Area,Ready To Move,Other,2430.0,4.0,180.0,3
